Regions=США,Африка,Россия,Северная Корея,Китай,Вьетнам,Индия,Иран,Ирак,Сирия,Южная Корея,Япония,Филиппины,Австралия,Мьянма,Афганистан,Туркменистан,Израиль,Ливия,Саудовская Аравия,Сомали,Франция,Испания,Марокко,Великобритания,Исландия,Норвегия,Финляндия,в Прибалтике,Польша,Германия,Болгария,Турция,Грузия,Украина,Беларусь,Канада,Куба,Казахстан,Мексика,Французская Гвиана,Аргентина,Италия,Румыния,Австрия

Regions_RO=США,Африки,России,Северной Кореи,Китая,Вьетнама,Индии,Ирана,Ирака,Сирии,Южной Кореи,Японии,Филиппин,Австралии,Мьянмы,Афганистана,Туркменистана,Израиля,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польши,Германии,Болгарии,Турции,Грузии,Украины,Беларуси,Канады,Кубы,Казахстана,Мексики,Французской Гвианы,Аргентины,Италии,Румынии,Австрии

Regions_DA=США,Африке,России,Северной Корее,Китаю,Вьетнаму,Индии,Ирану,Ираку,Сирии,Южной Корее,Японии,Филиппинам,Австралии,Мьянме,Афганистану,Туркменистану,Израилю,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польше,Германии,Болгарии,Турции,Грузии,Украине,Беларуси,Канаде,Кубе,Казахстану,Мексике,Французской Гвиане,Аргентине,Италии,Румынии,Австрии

Regions_VI=США,Африку,Россию,Северную Корею,Китай,страну Вьетнам,Индию,Иран,Ирак,Сирию,Южную Корею,Японию,районы Филиппин,Австралию,Мьянму,Афганистан,Туркменистан,Израиль,Ливию,Саудовскую Аравию,Сомали,страну Франция,Испанию,Марокко,Великобританию,Исландию,Норвегию,Финляндию,районы  Прибалтики,Польшу,Германию,Болгарию,Турцию,Грузию,Украину,Беларусь,Канаду,районы Кубы,Казахстан,Мексику,районы Французской Гвианы,Аргентину,Италию,Румынию,Австрию

Regions_TV=США,Африкой,Россией,Северной Кореей,Китаем,Вьетнамом,Индией,Ираном,Ираком,Сирией,Южной Кореей,Японией,Филиппинами,Австралией,Мьянмой,Афганистаном,Туркменистаном,Израилем,Ливией,Саудовской Аравией,Сомали,Францией,Испанией,Марокко,Великобританией,Исландией,Норвегией,Финляндией,в Прибалтике,Польшей,Германией,Болгарией,Турцией,Грузией,Украиной,Беларусью,Канадой,Кубой,Казахстаном,Мексикой,Французской Гвианой,Аргентиной,Италией,Румынией,Австрией

Regions_PR=США,Африке,России,Северной Корее,Китае,Вьетнаме,Индии,Иране,Ираке,Сирии,Южной Корее,Японии,Филиппинах,Австралии,Мьянме,Афганистане,Туркменистане,Израиле,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польше,Германии,Болгарии,Турции,Грузии,Украине,Беларуси,Канаде,Кубе,Казахстане,Мексике,Французской Гвиане,Аргентине,Италии,Румынии,Австрии

Вашингтон=США,Вашингтона,Вашингтону,Вашингтон,Вашингтоном,Вашингтоне
Хабаровск=Россия,Хабаровска,Хабаровску,Хабаровск,Хабаровском,Хабаровске
Буэнос-Айрес=Аргентина,Буэнос-Айреса,Буэнос-Айресу,Буэнос-Айрес,Буэнос-Айресом,Буэнос-Айресе
Владивосток=Россия,Владивостока,Владивостоку,Владивосток,Владивостоком,Владивостоке
Сахалин=Россия,Сахалина,Сахалину,Сахалин,Сахалином,Сахалине
Якутск=Россия,Якутска,Якутску,Якутск,Якутском,Якутске
Магадан=Россия,Магадана,Магадану,Магадан,Магаданом,Магадане
Слаутное=Россия,Слаутного,Слаутному,Слаутное,Слаутным,Слаутном
Камчатка=Россия,Камчатки,Камчатке,Камчатку,Камчаткой,Камчатке
Пхеньян=Северная Корея,Пхеньяна,Пхеньяну,Пхеньян,Пхеньяном,Пхеньяне
Пекин=Китай,Пекина,Пекину,Пекин,Пекином,Пекине
Хуайхуа=Китай,Хуайхуа,Хуайхуа,Хуайхуа,Хуайхуа,Хуайхуа
Сиан=Китай,Сиана,Сиану,Сиан,Сианом,Сиане
Парасельские острва=Китай,Парасельских остров,Парасельским острвам,Парасельские острва,Парасельскими острвами,Парасельских острвах
острова Спратли=Китай,острвов Спратли,острвам Спратли,острва Спратли,острвами Спратли,острвах Спратли
Кунминь=Китай,Кунминя,Кунминю,Кунминь,Кунминем,Кунмине
Цинхай=Китай,Цинхая,Цинхаю,Цинхай,Цинхайем,Цинхайе
Хами=Китай,Хами,Хами,Хами,Хами,Хами
Шанхай=Китай,Шанхая,Шанхаю,Шанхай,Шанхаем,Шанхае
Гонг-Конг=Китай,Гонг-Конга,Гонг-Конгу,Гонг-Конг,Гонг-Конгом,Гонг-Конге
Хошимин=Вьетнам,Хошимина,Хошимину,Хошимин,Хошимином,Хошимине
Бхилаи=Индия,Бхилая,Бхилаю,Бхилаи,Бхилаем,Бхилае
Бангалор=Индия,Бангалора,Бангалору,Бангалор,Бангалором,Бангалоре
Нью-Дели=Индия,Нью-Дели,Нью-Дели,Нью-Дели,Нью-Дели,Нью-Дели
Тегеран=Иран,Тегерана,Тегерану,Тегеран,Тегераном,Тегеране
Багдад=Ирак,Багдада,Багдаду,Багдад,Багдадом,Багдаде
Дамаск=Сирия,Дамаска,Дамаску,Дамаск,Дамаском,Дамаске
Сеул=Южная Корея,Сеула,Сеулу,Сеул,Сеулом,Сеуле
Хиросима=Япония,Хиросимы,Хиросиме,Хиросиму,Хиросимой,Хиросиме
Токио=Япония,Токио,Токио,Токио,Токио,Токио
Саппоро=Япония,Саппоро,Саппоро,Саппоро,Саппоро,Саппоро
Гуам=США,Гуама,Гуаму,Гуам,Гуамом,Гуаме
Уэйк=США,Уэйка,Уэйку,Уэйк,Уэйком,Уэйке
Манила=Филиппины,Манилы,Маниле,Манилу,Манилой,Маниле
Дарвин=Австралия,Дарвина,Дарвину,Дарвин,Дарвином,Дарвине
Перт=Австралия,Перта,Перту,Перт,Пертом,Перте
Сидней=Австралия,Сиднея,Сиднею,Сидней,Сиднеем,Сиднее
Мельбурн=Австралия,Мельбурна,Мельбурну,Мельбурн,Мельбурном,Мельбурне
Нейпьидо=Мьянма,Нейпьидо,Нейпьидо,Нейпьидо,Нейпьидо,Нейпьидо
Кабул=Афганистан,Кабула,Кабулу,Кабул,Кабулом,Кабуле
Ашхабад=Туркменистан,Ашхабада,Ашхабаду,Ашхабад,Ашхабадом,Ашхабаде
Иерусалим=Израиль,Иерусалима,Иерусалиму,Иерусалим,Иерусалимом,Иерусалиме
Триполи=Ливия,Триполи,Триполи,Триполи,Триполи,Триполи
Эр-Рияд=Саудовская Аравия,Эр-Рияда,Эр-Рияду,Эр-Рияд,Эр-Риядом,Эр-Рияде
Могадишо=Сомали,Могадиша,Могадишу,Могадишо,Могадишем,Могадише
Чикаго=США,Чикаго,Чикаго,Чикаго,Чикаго,Чикаго
Денвер=США,Денвера,Денверу,Денвер,Денвером,Денвере
Рим=Италия,Рима,Риму,Рим,Римом,Риме
Бухарест=Румыния,Бухареста,Бухаресту,Бухарест,Бухарестом,Бухаресте
Вена=Австрия,Вены,Вене,Вену,Веной,Вене
Шпицберген=Норвегия,Шпицбергена,Шпицбергену,Шпицберген,Шпицбергеном,Шпицбергене
